TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B08C02,680000.000,4281638.413,29,38.664401453280,-6.931210669843,38.663159087808,-6.932567031216,679877.010,4281426.028,-4.472515697,4.882900942,0.000000000
B08C03,700000.000,4282334.010,29,38.666374641970,-6.701308022409,38.665133380085,-6.702661204679,699876.731,4282121.426,-4.468542787,4.871456170,0.000000000
B08C04,720000.000,4283029.607,29,38.667895179569,-6.471416843468,38.666655241448,-6.472766325539,719876.495,4282816.849,-4.463777234,4.858135457,0.000000000
B08C05,740000.000,4283725.204,29,38.668963085646,-6.241542290613,38.667724507369,-6.242888820345,739876.193,4283512.275,-4.458881796,4.847507035,0.000000000
B08C06,761018.136,4284427.289,29,38.669337346915,-6.000000000000,38.668100042852,-6.001343135486,760894.034,4284214.164,-4.454294627,4.835287749,0.000000000
B08C07,260000.000,4283756.996,30,38.669249250693,-5.758468698072,38.668013300187,-5.759807636860,259890.133,4283551.392,-4.449421822,4.820179637,0.000000000
B08C08,280000.000,4283146.691,30,38.668949263374,-5.528620254728,38.667714801481,-5.529955737794,279889.890,4282940.984,-4.444062816,4.807739038,0.000000000
B08C09,300000.000,4282536.386,30,38.668196900639,-5.298750271943,38.666962479060,-5.300083403126,299889.544,4282330.417,-4.443917683,4.799272259,0.000000000
B08C10,320000.000,4281926.080,30,38.666992105932,-5.068863905291,38.665758524746,-5.070187806885,319889.797,4281719.925,-4.440892270,4.766045738,0.000000000
B08C11,340000.000,4281315.775,30,38.665334853330,-4.838966311507,38.664103028673,-4.840285118782,339889.691,4281109.545,-4.434568765,4.747706190,0.000000000
B08C12,360000.000,4280705.469,30,38.663225147557,-4.609062647761,38.661993572285,-4.610377676106,359889.465,4280499.000,-4.433670978,4.734102041,0.000000000
B08C13,367159.081,4280487.008,30,38.662360010273,-4.526767210907,38.661128854925,-4.528081208115,367048.438,4280280.491,-4.432159251,4.730389949,0.000000000
